S,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
10,1.000000,1.000000,0.004341,0.000800,0.005141,7.278320
19,0.400000,0.400000,0.008964,0.004664,0.013628,10.932617
29,0.400000,0.400000,0.013758,0.008400,0.022159,14.370117
39,0.500000,0.700000,0.018109,0.011834,0.029943,18.391602
49,0.550000,0.700000,0.023003,0.015242,0.038245,21.842773
59,0.560000,0.600000,0.027388,0.018649,0.046037,25.266602
69,0.633333,1.000000,0.034224,0.023917,0.058142,28.704102
79,0.671429,0.900000,0.040582,0.028380,0.068961,32.370117
89,0.687500,0.800000,0.046035,0.032834,0.078868,36.112305
99,0.666667,0.500000,0.051658,0.037333,0.088991,39.540039
109,0.680000,0.800000,0.058113,0.041855,0.099968,42.532227
119,0.681818,0.700000,0.063740,0.046446,0.110186,46.438477
129,0.691667,0.800000,0.069713,0.051369,0.121083,49.604492
139,0.700000,0.800000,0.076303,0.056110,0.132413,52.760742
149,0.721429,1.000000,0.082058,0.060971,0.143029,55.659180
159,0.713333,0.600000,0.088015,0.065947,0.153962,60.206055
169,0.693750,0.400000,0.094791,0.071109,0.165899,63.315430
179,0.711765,1.000000,0.100914,0.076167,0.177081,66.237305
189,0.716667,0.800000,0.107073,0.081360,0.188433,69.360352
199,0.694737,0.300000,0.113271,0.086676,0.199947,72.165039
209,0.705000,0.900000,0.120492,0.092122,0.212613,76.165039
219,0.719048,1.000000,0.126967,0.097574,0.224541,78.758789
229,0.713636,0.600000,0.133393,0.103102,0.236494,81.680664
239,0.713043,0.700000,0.140932,0.108800,0.249732,86.524414
249,0.712500,0.700000,0.148685,0.115369,0.264055,89.399414
259,0.716000,0.800000,0.156624,0.122151,0.278774,93.668945
269,0.719231,0.800000,0.165609,0.129089,0.294699,96.614258
279,0.729630,1.000000,0.173738,0.136126,0.309864,99.489258
289,0.721429,0.500000,0.181946,0.143347,0.325292,101.473633
299,0.731034,1.000000,0.191412,0.150704,0.342116,104.536133
309,0.730000,0.700000,0.200042,0.158374,0.358416,108.184570
319,0.722581,0.500000,0.208906,0.166319,0.375224,111.549805
329,0.721875,0.700000,0.218830,0.174228,0.393058,114.706055
339,0.730303,1.000000,0.227678,0.182040,0.409718,117.956055
349,0.729412,0.700000,0.236717,0.189904,0.426621,121.745117
359,0.728571,0.700000,0.245900,0.198032,0.443932,124.948242
369,0.730556,0.800000,0.256268,0.206500,0.462768,128.174805
379,0.727027,0.600000,0.265872,0.215065,0.480937,131.391602
389,0.731579,0.900000,0.275636,0.223894,0.499530,134.524414
399,0.728205,0.600000,0.286774,0.232907,0.519681,138.172852
409,0.730000,0.800000,0.297263,0.242234,0.539497,141.235352
419,0.724390,0.500000,0.307841,0.251759,0.559600,144.321289
429,0.728571,0.900000,0.319402,0.261463,0.580866,148.555664
439,0.730233,0.800000,0.329611,0.270808,0.600419,151.336914
449,0.731818,0.800000,0.339699,0.279935,0.619634,154.540039
459,0.737778,1.000000,0.351448,0.289464,0.640912,157.743164
469,0.741304,0.900000,0.361797,0.298878,0.660675,161.977539
479,0.738298,0.600000,0.372325,0.308417,0.680742,165.180664
489,0.729167,0.300000,0.385992,0.319794,0.705785,167.961914
499,0.724490,0.500000,0.398641,0.331469,0.730110,171.165039
509,0.720000,0.500000,0.413718,0.346038,0.759755,174.331055
519,0.717647,0.600000,0.427002,0.358174,0.785176,177.299805
529,0.721154,0.900000,0.443008,0.371730,0.814737,180.362305
539,0.726415,1.000000,0.458082,0.385490,0.843572,184.010742
549,0.725926,0.700000,0.473069,0.398491,0.871559,187.143555
559,0.727273,0.800000,0.488140,0.411281,0.899421,190.346680
569,0.728571,0.800000,0.502075,0.424259,0.926334,193.526367
579,0.729825,0.800000,0.516232,0.437222,0.953455,197.338867
589,0.725862,0.500000,0.531831,0.450785,0.982616,200.541992
599,0.723729,0.600000,0.546242,0.464296,1.010538,203.745117
609,0.720000,0.500000,0.560664,0.477758,1.038422,206.948242
619,0.722951,0.900000,0.576626,0.491353,1.067980,209.987305
629,0.722581,0.700000,0.592726,0.505805,1.098531,213.659180
639,0.725397,0.900000,0.608902,0.521126,1.130028,216.997070
649,0.725000,0.700000,0.625384,0.535635,1.161019,221.254883
659,0.726154,0.800000,0.641264,0.550173,1.191437,223.403320
669,0.728788,0.900000,0.657268,0.565037,1.222305,227.192383
679,0.731343,0.900000,0.673513,0.580279,1.253792,230.395508
689,0.732353,0.800000,0.690429,0.595005,1.285435,233.575195
699,0.733333,0.800000,0.708624,0.612154,1.320778,237.387695
709,0.737143,1.000000,0.725219,0.628264,1.353483,240.590820
719,0.739437,0.900000,0.742540,0.643561,1.386101,243.559570
729,0.740278,0.800000,0.758850,0.659037,1.417887,246.622070
739,0.739726,0.700000,0.775545,0.674744,1.450289,249.754883
749,0.741892,0.900000,0.793998,0.690890,1.484888,253.989258
759,0.744000,0.900000,0.811108,0.706913,1.518021,257.192383
769,0.744737,0.800000,0.829223,0.723894,1.553117,261.018555
779,0.744156,0.700000,0.847827,0.740509,1.588335,264.221680
789,0.741026,0.500000,0.865353,0.756815,1.622168,267.424805
799,0.739241,0.600000,0.882928,0.773461,1.656389,270.581055
809,0.741250,0.900000,0.901876,0.790331,1.692207,273.643555
819,0.743210,0.900000,0.919931,0.807463,1.727394,277.291992
829,0.743902,0.800000,0.938161,0.824717,1.762878,280.354492
839,0.744578,0.800000,0.956540,0.842158,1.798698,283.557617
849,0.744048,0.700000,0.976150,0.859670,1.835820,285.706055
859,0.744706,0.800000,0.994641,0.877233,1.871874,289.518555
869,0.745349,0.800000,1.013739,0.895305,1.909044,293.752930
879,0.744828,0.700000,1.034307,0.913811,1.948119,295.901367
889,0.743182,0.600000,1.053198,0.931999,1.985197,299.104492
899,0.743820,0.800000,1.072334,0.950284,2.022618,302.213867
909,0.745556,0.900000,1.092692,0.968703,2.061395,305.885742
919,0.745055,0.700000,1.112326,0.987220,2.099547,308.924805
929,0.744565,0.700000,1.132545,1.006611,2.139155,312.057617
939,0.743011,0.600000,1.153782,1.025631,2.179414,316.291992
949,0.745745,1.000000,1.173982,1.044890,2.218872,320.104492
959,0.745263,0.700000,1.194013,1.063843,2.257856,324.338867
969,0.743750,0.600000,1.219159,1.086313,2.305471,326.487305
979,0.745361,0.900000,1.244044,1.110329,2.354372,329.948242
989,0.744898,0.700000,1.268913,1.133950,2.402863,333.127930
999,0.745455,0.800000,1.293672,1.157615,2.451287,336.799805
1009,0.747000,0.900000,1.320640,1.181369,2.502010,335.510742
1019,0.746535,0.700000,1.346660,1.205607,2.552267,336.528320
1029,0.745098,0.600000,1.371901,1.229535,2.601436,336.528320
1039,0.743689,0.600000,1.399005,1.253870,2.652874,336.551758
1049,0.743269,0.700000,1.425656,1.278560,2.704215,336.551758
1059,0.744762,0.900000,1.451438,1.302795,2.754233,336.551758
1069,0.743396,0.600000,1.479271,1.328069,2.807339,335.497070
1079,0.742056,0.600000,1.505670,1.352866,2.858536,336.551758
1089,0.740741,0.600000,1.531969,1.377750,2.909719,336.551758
1099,0.738532,0.500000,1.559020,1.401887,2.960907,336.551758
1109,0.737273,0.600000,1.584656,1.426484,3.011140,336.551758
1119,0.736036,0.600000,1.610295,1.451183,3.061478,336.551758
1129,0.735714,0.700000,1.637193,1.476026,3.113219,336.551758
1139,0.734513,0.600000,1.662524,1.499539,3.162062,336.551758
1149,0.735088,0.800000,1.688099,1.523705,3.211803,336.551758
1159,0.736522,0.900000,1.713445,1.547647,3.261093,336.551758
1169,0.737931,0.900000,1.740126,1.571774,3.311900,336.551758
1179,0.739316,0.900000,1.765682,1.595669,3.361351,336.551758
1189,0.736441,0.400000,1.791510,1.619786,3.411296,336.551758
1199,0.736134,0.700000,1.818324,1.644002,3.462326,335.497070
1209,0.735833,0.700000,1.845214,1.668773,3.513987,336.551758
1219,0.736364,0.800000,1.875629,1.698618,3.574247,336.551758
1229,0.733607,0.400000,1.902737,1.722890,3.625627,336.551758
1239,0.733333,0.700000,1.927970,1.746783,3.674753,336.551758
1249,0.735484,1.000000,1.953524,1.771210,3.724734,336.551758
1259,0.735200,0.700000,1.981217,1.795988,3.777205,335.497070
1269,0.732540,0.400000,2.006679,1.820153,3.826831,336.551758
1279,0.731496,0.600000,2.032138,1.844316,3.876454,336.854492
1289,0.729688,0.500000,2.058764,1.868205,3.926969,336.854492
1299,0.730233,0.800000,2.084506,1.892763,3.977269,336.854492
1309,0.726923,0.300000,2.109981,1.916920,4.026900,336.854492
1319,0.727481,0.800000,2.135428,1.940684,4.076112,336.854492
1329,0.728030,0.800000,2.162576,1.964717,4.127293,335.799805
1339,0.727820,0.700000,2.188562,1.989579,4.178141,336.854492
1349,0.726866,0.600000,2.214771,2.013994,4.228765,336.854492
1359,0.724444,0.400000,2.242053,2.038571,4.280624,336.854492
1369,0.725735,0.900000,2.267729,2.062508,4.330237,336.854492
1379,0.724818,0.600000,2.293378,2.086542,4.379921,336.854492
1389,0.723913,0.600000,2.319828,2.110388,4.430216,335.799805
1399,0.723022,0.600000,2.344943,2.134265,4.479208,336.854492
1409,0.723571,0.800000,2.370346,2.158294,4.528640,336.854492
1419,0.721986,0.500000,2.396850,2.182042,4.578892,336.854492
1429,0.721831,0.700000,2.422631,2.206200,4.628831,336.854492
1439,0.720280,0.500000,2.448338,2.230476,4.678814,336.854492
1449,0.718750,0.500000,2.475464,2.254808,4.730272,336.854492
1459,0.717241,0.500000,2.500738,2.278745,4.779484,336.854492
1469,0.715753,0.500000,2.526011,2.302498,4.828509,336.854492
1479,0.712925,0.300000,2.552077,2.326375,4.878451,336.854492
1489,0.714189,0.900000,2.579075,2.350298,4.929373,336.854492
1499,0.714094,0.700000,2.605496,2.374380,4.979875,336.854492
1509,0.713333,0.600000,2.630885,2.398658,5.029542,336.854492
1519,0.714570,0.900000,2.657517,2.422623,5.080141,336.034180
1529,0.714474,0.700000,2.682643,2.446408,5.129051,337.065430
1539,0.715033,0.800000,2.708336,2.470510,5.178846,337.079102
1549,0.713636,0.500000,2.734642,2.494259,5.228901,337.079102
1559,0.712258,0.500000,2.759797,2.518173,5.277970,337.079102
1569,0.712179,0.700000,2.784642,2.541728,5.326370,337.079102
1579,0.709554,0.300000,2.811087,2.565472,5.376560,336.047852
1589,0.708228,0.500000,2.836448,2.589224,5.425673,337.079102
1599,0.706918,0.500000,2.862495,2.613596,5.476091,337.079102
1609,0.706250,0.600000,2.889330,2.637957,5.527287,337.079102
1619,0.708075,1.000000,2.914745,2.661673,5.576418,337.079102
1629,0.708025,0.700000,2.941393,2.685749,5.627142,337.079102
1639,0.707362,0.600000,2.967574,2.711066,5.678640,337.079102
1649,0.709146,1.000000,2.995289,2.736444,5.731734,336.047852
1659,0.709697,0.800000,3.021331,2.760462,5.781793,337.079102
1669,0.709639,0.700000,3.046679,2.784782,5.831462,337.079102
1679,0.708383,0.500000,3.073640,2.809017,5.882657,337.079102
1689,0.707143,0.500000,3.099383,2.833263,5.932645,337.079102
1699,0.705917,0.500000,3.124696,2.857053,5.981749,337.079102
1709,0.704706,0.500000,3.151311,2.881143,6.032454,336.047852
1719,0.705848,0.900000,3.176633,2.905084,6.081717,337.079102
1729,0.705814,0.700000,3.202359,2.929245,6.131603,337.079102
1739,0.706936,0.900000,3.228856,2.952784,6.181640,337.079102
1749,0.707471,0.800000,3.254199,2.976831,6.231029,337.079102
1759,0.708000,0.800000,3.279308,3.000634,6.279941,337.079102
1769,0.707386,0.600000,3.306642,3.026356,6.332998,337.079102
1779,0.706780,0.600000,3.331881,3.050184,6.382066,337.079102
1789,0.706742,0.700000,3.357467,3.074732,6.432199,337.079102
1799,0.706145,0.600000,3.382795,3.098664,6.481458,337.079102
1809,0.705556,0.600000,3.409684,3.122980,6.532664,337.079102
1819,0.706630,0.900000,3.435740,3.147671,6.583411,337.079102
1829,0.706044,0.600000,3.462003,3.172054,6.634057,337.079102
1839,0.703825,0.300000,3.488470,3.195965,6.684435,336.047852
1849,0.705435,1.000000,3.513700,3.219829,6.733529,337.079102
1859,0.704865,0.600000,3.540383,3.245061,6.785444,337.079102
1869,0.704301,0.600000,3.566524,3.268569,6.835093,337.079102
1879,0.704813,0.800000,3.591610,3.292291,6.883901,337.079102
1889,0.705851,0.900000,3.616929,3.316306,6.933235,337.079102
1899,0.703704,0.300000,3.644040,3.340357,6.984397,336.047852
1909,0.702632,0.500000,3.669433,3.364572,7.034005,337.079102
1919,0.704188,1.000000,3.694946,3.388745,7.083691,337.079102
1929,0.704167,0.700000,3.722228,3.413981,7.136209,336.868164
1939,0.702591,0.400000,3.747677,3.438118,7.185795,336.868164
1949,0.702577,0.700000,3.773142,3.462001,7.235144,337.079102
1959,0.702051,0.600000,3.798104,3.485506,7.283610,337.079102
1969,0.701531,0.600000,3.824514,3.509383,7.333896,336.047852
1979,0.701015,0.600000,3.849935,3.533770,7.383704,337.079102
1989,0.701515,0.800000,3.874938,3.557446,7.432383,337.079102
1999,0.701005,0.600000,3.901539,3.581082,7.482621,337.079102
2009,0.701500,0.800000,3.927088,3.604930,7.532018,337.079102
2019,0.700498,0.500000,3.952734,3.628841,7.581574,337.079102
2029,0.700495,0.700000,3.979357,3.652755,7.632112,336.047852
2039,0.700493,0.700000,4.004669,3.676721,7.681390,337.079102
2049,0.700490,0.700000,4.030587,3.700768,7.731354,337.065430
2059,0.700000,0.600000,4.059039,3.725064,7.784104,337.065430
2069,0.700485,0.800000,4.084720,3.748853,7.833573,337.065430
2079,0.700000,0.600000,4.109749,3.773913,7.883662,337.065430
2089,0.699519,0.600000,4.136100,3.798002,7.934102,337.065430
2099,0.698086,0.400000,4.161552,3.821805,7.983357,337.065430
2109,0.697143,0.500000,4.187069,3.845882,8.032951,337.065430
2119,0.696209,0.500000,4.212684,3.869953,8.082638,337.065430
2129,0.694811,0.400000,4.239065,3.893659,8.132723,337.065430
2139,0.693897,0.500000,4.264479,3.917620,8.182098,337.065430
2149,0.694860,0.900000,4.289459,3.941419,8.230878,337.065430
2159,0.695349,0.800000,4.316686,3.964782,8.281468,336.034180
2169,0.694444,0.500000,4.341888,3.988260,8.330148,337.065430
2179,0.693548,0.500000,4.366981,4.011881,8.378862,337.065430
2189,0.693578,0.700000,4.393297,4.035690,8.428987,337.065430
2199,0.694064,0.800000,4.418619,4.059793,8.478412,337.065430
2209,0.695000,0.900000,4.444536,4.084093,8.528629,337.065430
2219,0.694118,0.500000,4.472059,4.109517,8.581576,336.034180
2229,0.694595,0.800000,4.497424,4.133470,8.630894,337.065430
2239,0.693722,0.500000,4.522611,4.157413,8.680025,337.065430
2249,0.692411,0.400000,4.549452,4.181321,8.730773,337.065430
2259,0.691111,0.400000,4.575116,4.205384,8.780500,337.065430
2269,0.691593,0.800000,4.600597,4.229276,8.829873,337.065430
2279,0.691189,0.600000,4.625753,4.253275,8.879028,337.065430
2289,0.692105,0.900000,4.652293,4.277107,8.929400,336.034180
2299,0.692576,0.800000,4.677416,4.300933,8.978350,337.065430
2309,0.692609,0.700000,4.702082,4.324332,9.026414,337.065430
2319,0.693506,0.900000,4.728658,4.347938,9.076595,337.065430
2329,0.693966,0.800000,4.753724,4.371700,9.125425,337.065430
2339,0.692275,0.300000,4.778557,4.395125,9.173681,337.065430
2349,0.692735,0.800000,4.806623,4.418941,9.225564,336.034180
2359,0.692766,0.700000,4.832780,4.443607,9.276388,337.065430
2369,0.693220,0.800000,4.859407,4.468937,9.328343,337.065430
2379,0.693249,0.700000,4.886777,4.493213,9.379990,337.065430
2389,0.692857,0.600000,4.912229,4.516894,9.429123,337.065430
2399,0.692887,0.700000,4.937633,4.540789,9.478422,337.065430
2409,0.692083,0.500000,4.964506,4.564694,9.529200,337.065430
2419,0.691701,0.600000,4.990377,4.588943,9.579320,337.065430
2429,0.691322,0.600000,5.015473,4.613154,9.628627,337.065430
2439,0.690535,0.500000,5.040403,4.637130,9.677534,337.065430
2449,0.690574,0.700000,5.067711,4.661301,9.729012,337.065430
2459,0.690612,0.700000,5.092792,4.684946,9.777737,337.065430
2469,0.689431,0.400000,5.118155,4.708941,9.827096,337.065430
2479,0.689474,0.700000,5.144611,4.732734,9.877345,336.034180
2489,0.689113,0.600000,5.170177,4.756904,9.927081,337.065430
2499,0.689960,0.900000,5.195896,4.781101,9.976997,337.065430
2509,0.690000,0.700000,5.223844,4.805528,10.029371,337.065430
2519,0.690040,0.700000,5.249331,4.829768,10.079099,337.065430
2529,0.690476,0.800000,5.274738,4.853624,10.128362,337.065430
2539,0.690909,0.800000,5.301483,4.877369,10.178851,336.034180
2549,0.690157,0.500000,5.327228,4.901457,10.228684,337.065430
2559,0.689804,0.600000,5.352862,4.925432,10.278293,335.713867
2569,0.688672,0.400000,5.379323,4.949655,10.328978,335.713867
2579,0.687549,0.400000,5.404469,4.973341,10.377810,335.479492
2589,0.687209,0.600000,5.430159,4.997320,10.427479,335.479492
2599,0.688031,0.900000,5.455569,5.021490,10.477058,335.479492
2609,0.687692,0.600000,5.482078,5.045290,10.527368,335.479492
2619,0.687739,0.700000,5.507531,5.069283,10.576814,335.479492
2629,0.688168,0.800000,5.533207,5.093425,10.626632,335.479492
2639,0.687833,0.600000,5.560858,5.117522,10.678380,335.479492
2649,0.687879,0.700000,5.585804,5.141408,10.727212,335.479492
2659,0.688302,0.800000,5.611775,5.165785,10.777560,335.479492
2669,0.687970,0.600000,5.638462,5.189569,10.828031,335.479492
2679,0.688764,0.900000,5.663560,5.213535,10.877096,335.479492
2689,0.687687,0.400000,5.688630,5.237360,10.925990,335.479492
2699,0.686989,0.500000,5.715295,5.261717,10.977013,335.479492
2709,0.685926,0.400000,5.740504,5.285375,11.025879,335.479492
2719,0.685609,0.600000,5.766282,5.309258,11.075540,335.479492
2729,0.686029,0.800000,5.792931,5.333346,11.126277,335.479492
2739,0.685348,0.500000,5.818531,5.357724,11.176255,335.479492
2749,0.685036,0.600000,5.843501,5.381274,11.224776,335.479492
2759,0.684364,0.500000,5.868494,5.404878,11.273373,335.479492
2769,0.684058,0.600000,5.895187,5.428669,11.323856,335.479492
2779,0.684116,0.700000,5.921398,5.453143,11.374542,335.479492
2789,0.683813,0.600000,5.946432,5.477113,11.423545,335.479492
2799,0.683513,0.600000,5.973092,5.500804,11.473896,335.479492
2809,0.683929,0.800000,5.998834,5.525244,11.524078,335.479492
2819,0.683274,0.500000,6.024542,5.549464,11.574005,335.479492
2829,0.682270,0.400000,6.051653,5.573578,11.625231,335.479492
2839,0.681979,0.600000,6.076801,5.597527,11.674328,335.479492
2849,0.682746,0.900000,6.102208,5.621570,11.723779,335.479492
2859,0.682456,0.600000,6.128894,5.645532,11.774426,335.479492
2869,0.682517,0.700000,6.154650,5.670829,11.825479,335.713867
2879,0.682578,0.700000,6.179999,5.695023,11.875022,335.713867
2889,0.682292,0.600000,6.207405,5.719259,11.926665,335.479492
2899,0.682007,0.600000,6.232633,5.743043,11.975676,335.479492
2909,0.681379,0.500000,6.258044,5.767286,12.025330,335.479492
2919,0.681100,0.600000,6.282865,5.790915,12.073780,335.479492
2929,0.681164,0.700000,6.310183,5.815210,12.125393,335.479492
2939,0.682253,1.000000,6.335397,5.838848,12.174244,335.479492
2949,0.681973,0.600000,6.360800,5.862839,12.223639,335.479492
2959,0.681695,0.600000,6.387197,5.886572,12.273770,335.479492
2969,0.680405,0.300000,6.412309,5.910373,12.322682,335.479492
2979,0.679125,0.300000,6.437723,5.934250,12.371973,335.479492
2989,0.679195,0.700000,6.464447,5.957802,12.422249,335.479492
2999,0.678930,0.600000,6.490227,5.982204,12.472431,335.479492
3009,0.678667,0.600000,6.515315,6.006004,12.521320,335.479492
3019,0.678738,0.700000,6.544746,6.033471,12.578216,335.479492
3029,0.679470,0.900000,6.570040,6.057728,12.627768,335.479492
3039,0.679538,0.700000,6.595652,6.082152,12.677804,335.479492
3049,0.679605,0.700000,6.622808,6.106255,12.729063,335.479492
3059,0.679016,0.500000,6.647764,6.129933,12.777697,335.479492
3069,0.678758,0.600000,6.674446,6.153597,12.828042,335.493164
3079,0.678176,0.500000,6.699827,6.177634,12.877461,335.493164
3089,0.678247,0.700000,6.727264,6.201923,12.929187,335.493164
3099,0.678317,0.700000,6.752302,6.225544,12.977847,335.493164
3109,0.678710,0.800000,6.777332,6.249180,13.026512,335.493164
3119,0.678457,0.600000,6.803688,6.273023,13.076711,335.493164
3129,0.678205,0.600000,6.828564,6.296765,13.125329,335.493164
3139,0.677636,0.500000,6.853848,6.320694,13.174542,335.493164
3149,0.678025,0.800000,6.880917,6.344709,13.225626,335.493164
3159,0.677778,0.600000,6.906049,6.368578,13.274627,335.493164
3169,0.677848,0.700000,6.931438,6.392263,13.323700,335.493164
3179,0.677287,0.500000,6.958084,6.416432,13.374516,335.493164
3189,0.677044,0.600000,6.983809,6.440441,13.424250,335.493164
3199,0.677116,0.700000,7.009236,6.464369,13.473605,335.493164
3209,0.676875,0.600000,7.035694,6.488118,13.523812,335.493164
3219,0.676636,0.600000,7.061592,6.512787,13.574380,335.493164
3229,0.677019,0.800000,7.087433,6.536930,13.624362,335.493164
3239,0.676471,0.500000,7.112900,6.560889,13.673789,335.493164
3249,0.676852,0.800000,7.139157,6.584558,13.723715,335.493164
3259,0.676000,0.400000,7.164475,6.608486,13.772961,335.493164
3269,0.675460,0.500000,7.189550,6.632174,13.821725,335.493164
3279,0.675841,0.800000,7.216554,6.655985,13.872539,335.493164
3289,0.675915,0.700000,7.242341,6.680261,13.922601,335.493164
3299,0.675988,0.700000,7.267209,6.703716,13.970925,335.493164
3309,0.676364,0.800000,7.293831,6.727749,14.021580,335.493164
3319,0.676133,0.600000,7.319424,6.751598,14.071022,335.493164
3329,0.675602,0.500000,7.345063,6.775463,14.120526,335.493164
3339,0.675976,0.800000,7.372660,6.800183,14.172842,335.493164
3349,0.674850,0.300000,7.397974,6.824088,14.222062,335.493164
3359,0.674925,0.700000,7.425439,6.848729,14.274169,335.493164
3369,0.674702,0.600000,7.453415,6.873109,14.326524,335.493164
3379,0.674481,0.600000,7.478383,6.896660,14.375043,335.493164
3389,0.673373,0.300000,7.503638,6.920544,14.424182,335.493164
3399,0.673156,0.600000,7.528951,6.944820,14.473771,335.493164
3409,0.673824,0.900000,7.555696,6.968587,14.524283,335.493164
3419,0.673021,0.400000,7.581452,6.992582,14.574034,335.493164
3429,0.672807,0.600000,7.606810,7.016716,14.623526,335.493164
3439,0.673178,0.800000,7.633687,7.040644,14.674332,335.493164
3449,0.673256,0.700000,7.658537,7.064245,14.722782,335.493164
3459,0.672754,0.500000,7.683788,7.087922,14.771710,335.493164
3469,0.672832,0.700000,7.711027,7.112066,14.823094,335.493164
3479,0.672911,0.700000,7.736677,7.136209,14.872886,335.493164
3489,0.672989,0.700000,7.761886,7.160042,14.921928,335.493164
3499,0.671920,0.300000,7.788640,7.183633,14.972273,335.493164
3509,0.671143,0.400000,7.814349,7.208490,15.022839,335.493164
3519,0.670940,0.600000,7.839752,7.232996,15.072748,335.493164
3529,0.670455,0.500000,7.866294,7.256609,15.122903,335.493164
3539,0.670822,0.800000,7.891290,7.280043,15.171333,335.493164
3549,0.670904,0.700000,7.916090,7.303460,15.219549,335.493164
3559,0.669859,0.300000,7.940941,7.326840,15.267781,335.493164
3569,0.670225,0.800000,7.968270,7.350977,15.319247,335.493164
3579,0.670028,0.600000,7.996621,7.377668,15.374288,335.493164
3589,0.670112,0.700000,8.021710,7.401666,15.423376,335.493164
3599,0.669359,0.400000,8.048381,7.425348,15.473728,335.493164
3609,0.670000,0.900000,8.074110,7.449609,15.523719,335.493164
3619,0.670083,0.700000,8.099385,7.473658,15.573043,335.493164
3629,0.669613,0.500000,8.125891,7.497406,15.623297,335.493164
3639,0.669146,0.500000,8.151439,7.521390,15.672828,335.493164
3649,0.668681,0.500000,8.178402,7.545470,15.723872,335.493164
3659,0.668219,0.500000,8.204886,7.569394,15.774280,335.493164
3669,0.668579,0.800000,8.229779,7.592959,15.822737,335.493164
3679,0.668392,0.600000,8.254688,7.616417,15.871105,335.493164
3689,0.668207,0.600000,8.281883,7.640501,15.922383,335.493164
3699,0.668293,0.700000,8.307323,7.664595,15.971918,335.493164
3709,0.668649,0.800000,8.332743,7.688829,16.021572,335.493164
3719,0.668733,0.700000,8.358021,7.712897,16.070918,335.493164
3729,0.668280,0.500000,8.384827,7.736717,16.121544,335.493164
3739,0.668633,0.800000,8.410003,7.760339,16.170342,335.493164
3749,0.668717,0.700000,8.435593,7.784415,16.220007,335.493164
3759,0.668000,0.400000,8.462177,7.808734,16.270912,335.493164
3769,0.668085,0.700000,8.487491,7.832510,16.320001,335.493164
3779,0.667374,0.400000,8.512441,7.855959,16.368400,335.493164
3789,0.667725,0.800000,8.539538,7.879813,16.419351,335.493164
3799,0.667546,0.600000,8.565101,7.905210,16.470310,335.493164
3809,0.667105,0.500000,8.591104,7.930924,16.522028,335.727539
3819,0.665617,0.100000,8.617697,7.954524,16.572221,335.727539
3829,0.664921,0.400000,8.643113,7.978404,16.621517,335.493164
3839,0.664752,0.600000,8.668453,8.002091,16.670544,335.493164
3849,0.664844,0.700000,8.695325,8.026309,16.721634,335.493164
3859,0.664675,0.600000,8.720111,8.049808,16.769919,335.493164
3869,0.664508,0.600000,8.745011,8.073494,16.818505,335.493164
3879,0.664083,0.500000,8.770062,8.097299,16.867361,335.493164
3889,0.663402,0.400000,8.796729,8.121027,16.917756,335.493164
3899,0.662725,0.400000,8.822300,8.144881,16.967181,335.493164
3909,0.662564,0.600000,8.847329,8.168269,17.015598,335.493164
3919,0.661125,0.100000,8.874224,8.191980,17.066204,335.493164
3929,0.661480,0.800000,8.899640,8.216230,17.115870,335.493164
3939,0.661832,0.800000,8.924975,8.241506,17.166481,335.493164
3949,0.661929,0.700000,8.952348,8.265017,17.217365,335.493164
3959,0.662278,0.800000,8.978827,8.289900,17.268727,335.493164
3969,0.662374,0.700000,9.004547,8.313805,17.318352,335.493164
3979,0.662217,0.600000,9.031028,8.337437,17.368465,335.493164
3989,0.661809,0.500000,9.056363,8.361439,17.417802,335.493164
3999,0.661654,0.600000,9.081591,8.385521,17.467112,335.493164
4009,0.660750,0.300000,9.109790,8.410158,17.519948,335.493164
4019,0.660599,0.600000,9.135713,8.434408,17.570121,335.493164
4029,0.660448,0.600000,9.160725,8.457946,17.618671,335.493164
4039,0.660794,0.800000,9.185527,8.481243,17.666770,335.493164
4049,0.660396,0.500000,9.212706,8.505792,17.718498,335.493164
4059,0.659753,0.400000,9.238015,8.529539,17.767554,335.493164
4069,0.659606,0.600000,9.263027,8.553200,17.816227,335.493164
4079,0.659951,0.800000,9.289922,8.576892,17.866814,335.493164
4089,0.659559,0.500000,9.318562,8.605721,17.924283,335.493164
4099,0.658680,0.300000,9.344028,8.629259,17.973287,335.479492
4109,0.658537,0.600000,9.371174,8.653034,18.024208,335.479492
4119,0.658151,0.500000,9.397246,8.677746,18.074992,335.479492
4129,0.658495,0.800000,9.422963,8.701646,18.124609,335.479492
4139,0.658111,0.500000,9.449679,8.725354,18.175033,335.479492
4149,0.657488,0.400000,9.475100,8.749611,18.224712,335.479492
4159,0.656386,0.200000,9.500303,8.773311,18.273615,335.479492
4169,0.656250,0.600000,9.526880,8.797028,18.323908,335.479492
4179,0.655156,0.200000,9.552035,8.820688,18.372723,335.479492
4189,0.654785,0.500000,9.577618,8.844811,18.422429,335.479492
4199,0.654415,0.500000,9.603100,8.868730,18.471830,335.479492
4209,0.654048,0.500000,9.629786,8.892578,18.522364,335.479492
4219,0.653444,0.400000,9.655112,8.916259,18.571372,335.479492
4229,0.653081,0.500000,9.680258,8.941902,18.622160,335.479492
4239,0.652955,0.600000,9.706952,8.965776,18.672728,335.479492
4249,0.652358,0.400000,9.731966,8.989636,18.721602,335.479492
